"","prev","b_int","cmi","auc","auc_uncorrected","auc_diff"
"70",-6,0.7,0.8,0.761183136483789,0.636445417901695,0.124737718582094
"71",-6,0.8,0.8,0.766763455953042,0.638012376295366,0.128751079657676
"72",-6,0.9,0.8,0.758654268606535,0.635122855399108,0.123531413207427
"73",-6,0.1,0.9,0.792048544157016,0.720394225380222,0.071654318776794
"74",-6,0.2,0.9,0.792518972052146,0.720369970555342,0.0721490014968038
"75",-6,0.3,0.9,0.7893666541953,0.718675569667038,0.0706910845282628
"76",-6,0.4,0.9,0.78886597165567,0.718282991164976,0.0705829804906936
"77",-6,0.5,0.9,0.795322186927769,0.722895864213587,0.0724263227141821
"78",-6,0.6,0.9,0.794948246092245,0.720373560619584,0.0745746854726609
"79",-6,0.7,0.9,0.792068170302343,0.719940187853305,0.0721279824490383
"80",-6,0.8,0.9,0.790422080556455,0.720187240701318,0.0702348398551369
"81",-6,0.9,0.9,0.791080370202702,0.720390596830641,0.0706897733720606
"82",-4,0.1,0.1,0.720797974281627,0.713902335562388,0.0068956387192386
"83",-4,0.2,0.1,0.72179720485116,0.714457221718085,0.00733998313307449
"84",-4,0.3,0.1,0.7222831043862,0.715108557702686,0.00717454668351347
"85",-4,0.4,0.1,0.724857624715033,0.718491040112316,0.00636658460271688
"86",-4,0.5,0.1,0.72741009411693,0.721580949933653,0.0058291441832774
"87",-4,0.6,0.1,0.7284314508298,0.723006214593698,0.00542523623610192
"88",-4,0.7,0.1,0.728127572837062,0.723391938755973,0.00473563408108924
"89",-4,0.8,0.1,0.733627859987859,0.730297453106249,0.00333040688160946
"90",-4,0.9,0.1,0.736038626761272,0.733136099934171,0.00290252682710124
"91",-4,0.1,0.2,0.678253852490386,0.670625975578876,0.00762787691150979
"92",-4,0.2,0.2,0.682888019231598,0.673393615184642,0.0094944040469569
"93",-4,0.3,0.2,0.685510809328503,0.676779034388516,0.008731774939987
"94",-4,0.4,0.2,0.680059674409223,0.67752724763463,0.00253242677459342
"95",-4,0.5,0.2,0.685282715250781,0.681821803376226,0.003460911874555
"96",-4,0.6,0.2,0.688268404459845,0.690369775097063,-0.0021013706372186
"97",-4,0.7,0.2,0.697728418414749,0.694064646071614,0.00366377234313453
"98",-4,0.8,0.2,0.703033282624646,0.700848253613019,0.0021850290116272
"99",-4,0.9,0.2,0.708650842506732,0.70431340980212,0.00433743270461173
"100",-4,0.1,0.3,0.635026616793895,0.626706387249282,0.00832022954461287
"101",-4,0.2,0.3,0.632951786463007,0.633446120601268,-0.000494334138261721
"102",-4,0.3,0.3,0.634939188153143,0.633162027248768,0.00177716090437507
"103",-4,0.4,0.3,0.636566323374089,0.638539179307259,-0.00197285593316965
"104",-4,0.5,0.3,0.638098846104588,0.64466394856349,-0.0065651024589024
"105",-4,0.6,0.3,0.642013295565852,0.652201894416537,-0.0101885988506853
"106",-4,0.7,0.3,0.648776608574494,0.661726512938006,-0.0129499043635118
"107",-4,0.8,0.3,0.655551381641229,0.671510634586737,-0.0159592529455079
"108",-4,0.9,0.3,0.664362284553721,0.6812823971199,-0.0169201125661789
"109",-4,0.1,0.4,0.6142119674963,0.591497910287424,0.0227140572088756
"110",-4,0.2,0.4,0.611961921279177,0.593513669672747,0.0184482516064304
"111",-4,0.3,0.4,0.611900635782811,0.596467596414782,0.0154330393680296
"112",-4,0.4,0.4,0.613327842356147,0.597042297495733,0.0162855448604148
"113",-4,0.5,0.4,0.611429887697962,0.607600358191251,0.00382952950671089
"114",-4,0.6,0.4,0.615808186376717,0.616790432304569,-0.000982245927851455
"115",-4,0.7,0.4,0.61446995940747,0.626031675105836,-0.0115617156983652
"116",-4,0.8,0.4,0.620679901298544,0.639503294771392,-0.0188233934728477
"117",-4,0.9,0.4,0.62873812247546,0.648600147927371,-0.0198620254519108
