prev,b_int,cmi,auc_corrected_bias,auc_uncorrected_bias
-2.5,0.8,0.7000000000000001,0.13164869696822923,0.15785651402458215
-6,0.9,0.7000000000000001,0.10755057687297744,0.23206328894873096
-4,0.9,0.7000000000000001,0.12118405022190494,0.1713324672750429
-2.5,0.9,0.7000000000000001,0.13177794842240087,0.1466504068160712
-6,0.1,0.8,0.08126466302578957,0.17521996250523889
-4,0.1,0.8,0.09358628756520425,0.17247108189271984
-2.5,0.1,0.8,0.0980680804967346,0.1843646060732447
-6,0.2,0.8,0.08146202735177374,0.17553573985904883
-4,0.2,0.8,0.0938877872716403,0.17177642453582675
-2.5,0.2,0.8,0.09772977527016058,0.1789013825303944
-6,0.30000000000000004,0.8,0.08105758345026065,0.17460406742649565
-4,0.30000000000000004,0.8,0.09356393261882369,0.17001101251350711
-2.5,0.30000000000000004,0.8,0.09737366760062934,0.17275441667721111
-6,0.4,0.8,0.08166629059450155,0.17529175708677688
-4,0.4,0.8,0.09324315517942444,0.16783221284052666
-2.5,0.4,0.8,0.09676338012410841,0.16439355047248388
-6,0.5,0.8,0.08164931734857638,0.1749273074619494
-4,0.5,0.8,0.09292248062809322,0.16423132817776712
-2.5,0.5,0.8,0.09653894112255433,0.154839961208632
-6,0.6,0.8,0.0820322468023429,0.17402784835529492
-4,0.6,0.8,0.091652368148292307,0.15952364117638992
-2.5,0.6,0.8,0.09602557543114174,0.1444935732934152
-6,0.7000000000000001,0.8,0.08113346616635576,0.17419721645331124
-4,0.7000000000000001,0.8,0.09152390251152559,0.15366797521893688
-2.5,0.7000000000000001,0.8,0.09552664883692719,0.1351695645136077
-6,0.8,0.8,0.08028869571421283,0.17290362090478723
-4,0.8,0.8,0.09145168020397647,0.14693026626672492
-2.5,0.8,0.8,0.09520220823780988,0.12692331616961788
-6,0.9,0.8,0.0790237333794088,0.17085109955554528
-4,0.9,0.8,0.09066793909215548,0.14030739927841826
-2.5,0.9,0.8,0.09531731814239482,0.12020805172252082
-6,0.1,0.9,0.04524898527937693,0.09391071191021183
-4,0.1,0.9,0.05027575171509777,0.09400401348853098
-2.5,0.1,0.9,0.051086362126857236,0.09664440507836546
-6,0.2,0.9,0.04526149641705955,0.09404044225474745
-4,0.2,0.9,0.050649888494145034,0.09357048109539814
-2.5,0.2,0.9,0.051002233134295014,0.09497932515021708
-6,0.30000000000000004,0.9,0.045500269780502735,0.09425772603795363
-4,0.30000000000000004,0.9,0.050404059768779444,0.09309617075640317
-2.5,0.30000000000000004,0.9,0.05100544017173272,0.09256354062795928
-6,0.4,0.9,0.04570956794956862,0.09398250978211303
-4,0.4,0.9,0.05022595907561407,0.09229624151619464
-2.5,0.4,0.9,0.050883813080968926,0.0899054886493526
-6,0.5,0.9,0.04542284158307858,0.09397045457898953
-4,0.5,0.9,0.05031665031953362,0.09131131539259578
-2.5,0.5,0.9,0.05080606210310929,0.08659731195100757
-6,0.6,0.9,0.04546534728544229,0.09357361584286736
-4,0.6,0.9,0.0502217828386283,0.09004866300691265
-2.5,0.6,0.9,0.05084364996621024,0.08348142837907066
-6,0.7000000000000001,0.9,0.04504292054532759,0.09354156181716636
-4,0.7000000000000001,0.9,0.05017701504254778,0.08821143373778474
-2.5,0.7000000000000001,0.9,0.050905155869368085,0.08085613028376133
-6,0.8,0.9,0.04545150484715269,0.0935123493872428
-4,0.8,0.9,0.050023224403779806,0.0861902656344747
-2.5,0.8,0.9,0.05062946470562518,0.07823465026015758
-6,0.9,0.9,0.0453760062704362,0.09316496918415014
-4,0.9,0.9,0.049596879472708445,0.08392206535213426
-2.5,0.9,0.9,0.050748801441360826,0.07574593915630183
