prev,b_int,cmi,auc_corrected_bias,auc_uncorrected_bias
-4,0.1,0.5,0.1998413405903698,0.36329010419812824
-2.5,0.1,0.5,0.18682649649510633,0.3464976388095058
-6,0.2,0.5,0.13544006476424825,0.3213335219031467
-4,0.2,0.5,0.20051225922054733,0.3604970465433787
-2.5,0.2,0.5,0.1901350466008108,0.3565307498348283
-6,0.30000000000000004,0.5,0.140079586443752,0.32674814449671247
-4,0.30000000000000004,0.5,0.2030853713355731,0.3441857702881753
-2.5,0.30000000000000004,0.5,0.19148345630644265,0.3667229459196443
-6,0.4,0.5,0.13588942339726623,0.3249854891695506
-4,0.4,0.5,0.20308142570794452,0.3107326655454132
-2.5,0.4,0.5,0.19384015992548495,0.3584846385504191
-6,0.5,0.5,0.13931326886070278,0.3253050819197508
-4,0.5,0.5,0.20443812186104002,0.28070171811309486
-2.5,0.5,0.5,0.19403609008615474,0.27095680567545466
-6,0.6,0.5,0.13557742821351929,0.33002591122209884
-4,0.6,0.5,0.20449542707052276,0.24302580382332373
-2.5,0.6,0.5,0.19099454837504967,0.2383194853304847
-6,0.7000000000000001,0.5,0.1413435480840595,0.32741252311981917
-4,0.7000000000000001,0.5,0.20765690310437535,0.22164538350108315
-2.5,0.7000000000000001,0.5,0.1864933684013432,0.2230288592291111
-6,0.8,0.5,0.14111145510377135,0.33376776231529476
-4,0.8,0.5,0.2057355135791806,0.2084290843309238
-2.5,0.8,0.5,0.1804284793378622,0.20926216103967987
-6,0.9,0.5,0.14832182044688913,0.3328348816391001
-4,0.9,0.5,0.20474498024409027,0.19943472115086766
-2.5,0.9,0.5,0.17431941531077594,0.19730881318853943
-6,0.1,0.6,0.10656462576905096,0.2801144553557202
-4,0.1,0.6,0.1737156736393849,0.25341915119746394
-2.5,0.1,0.6,0.1556396717684435,0.284069600006124
-6,0.2,0.6,0.11034644392822697,0.28249651480706556
-4,0.2,0.6,0.1721979911288634,0.2534875572512276
-2.5,0.2,0.6,0.15802432187417065,0.27780750634784485
-6,0.30000000000000004,0.6,0.10521483974871362,0.28280851455158457
-4,0.30000000000000004,0.6,0.17180425460058354,0.24993013141883813
-2.5,0.30000000000000004,0.6,0.1618524137705465,0.2670128055371124
-6,0.4,0.6,0.11362177000126991,0.2848178890130178
-4,0.4,0.6,0.17370285445195285,0.24650685957419827
-2.5,0.4,0.6,0.16401219970277098,0.2561470742774759
-6,0.5,0.6,0.11507469082222979,0.2815729684455705
-4,0.5,0.6,0.17804474968007078,0.24093346716843458
-2.5,0.5,0.6,0.16592708187687635,0.24387009605634405
-6,0.6,0.6,0.10972436860396838,0.2845357813928285
-4,0.6,0.6,0.17950618602087548,0.23380695746054284
-2.5,0.6,0.6,0.16569862851356504,0.2293831709289136
-6,0.7000000000000001,0.6,0.10976481924412804,0.279544206859357
-4,0.7000000000000001,0.6,0.18453038468721555,0.22598308988813623
-2.5,0.7000000000000001,0.6,0.16427117685225082,0.21789919517596537
-6,0.8,0.6,0.11599431670140575,0.2793003955356099
-4,0.8,0.6,0.18431164742576198,0.21683469789092563
-2.5,0.8,0.6,0.15934268410062147,0.20653101999623233
-6,0.9,0.6,0.11726657269353305,0.2793124979222179
-4,0.9,0.6,0.18707317738623058,0.20721360061349361
-2.5,0.9,0.6,0.15423223795407165,0.19624044397472798
-6,0.1,0.7000000000000001,0.07483511705812347,0.23967821340003367
-4,0.1,0.7000000000000001,0.13011980693230357,0.22335974336521172
-2.5,0.1,0.7000000000000001,0.12056747614341692,0.23724115220573316
-6,0.2,0.7000000000000001,0.07433281055625666,0.2419630399768405
-4,0.2,0.7000000000000001,0.13137458216426473,0.22198181208550338
-2.5,0.2,0.7000000000000001,0.12233991804527426,0.2326057911817034
-6,0.30000000000000004,0.7000000000000001,0.07738482413257476,0.24056174887879467
-4,0.30000000000000004,0.7000000000000001,0.13119598649074762,0.2193284428060937
-2.5,0.30000000000000004,0.7000000000000001,0.12300590936312406,0.22744966838980132
-6,0.4,0.7000000000000001,0.07672277535877649,0.2394843502748749
-4,0.4,0.7000000000000001,0.1340814910029809,0.21721583574893288
-2.5,0.4,0.7000000000000001,0.12706364074290616,0.21942936715900022
-6,0.5,0.7000000000000001,0.0741191162008861,0.24213485445608934
-4,0.5,0.7000000000000001,0.1370897701314622,0.2135580571173666
-2.5,0.5,0.7000000000000001,0.12672590401862668,0.2089284477376098
-6,0.6,0.7000000000000001,0.07476604766581967,0.24009791229863073
-4,0.6,0.7000000000000001,0.13871533681130077,0.20927403162616554
-2.5,0.6,0.7000000000000001,0.12686888539838317,0.19976288910909698
-6,0.7000000000000001,0.7000000000000001,0.07406677364690281,0.23780796384161287
-4,0.7000000000000001,0.7000000000000001,0.14156603492980407,0.20326580333752997
-2.5,0.7000000000000001,0.7000000000000001,0.1268303635222538,0.1906683975947697
-6,0.8,0.7000000000000001,0.07459175059029197,0.23913913741498008
-4,0.8,0.7000000000000001,0.1449502186779648,0.19580140810866925
-2.5,0.8,0.7000000000000001,0.12548269949406843,0.18269519013965232
-6,0.9,0.7000000000000001,0.08186081702189106,0.23594238750982982
-4,0.9,0.7000000000000001,0.1483906463141826,0.18971301848258207
-2.5,0.9,0.7000000000000001,0.12292592424585537,0.1755379365695006
-6,0.1,0.8,0.047645577413595916,0.17085686212834506
-4,0.1,0.8,0.08333369409115393,0.16507482653487085
-2.5,0.1,0.8,0.07879348110673769,0.17018941775514063
-6,0.2,0.8,0.045560307581792726,0.17132007332786262
