"","prev","b_int","cmi","auc","auc_uncorrected","auc_diff"
"123",-4,0.6,0.5,0.662853804743421,0.596674577013947,0.0661792277294745
"124",-4,0.7,0.5,0.668056949437715,0.616165676432939,0.051891273004776
"125",-4,0.8,0.5,0.670841614637883,0.637724206080725,0.0331174085571579
"126",-4,0.9,0.5,0.673212498758318,0.656437593337553,0.0167749054207651
"127",-4,0.1,0.6,0.665851991381831,0.551266040191502,0.114585951190329
"128",-4,0.2,0.6,0.666692237570063,0.554618378986319,0.112073858583744
"129",-4,0.3,0.6,0.667500445712198,0.560913606263599,0.1065868394486
"130",-4,0.4,0.6,0.669973179706722,0.569296778616314,0.100676401090408
"131",-4,0.5,0.6,0.670620053811991,0.579560650384307,0.0910594034276839
"132",-4,0.6,0.6,0.674417226382214,0.593822632514834,0.0805945938673794
"133",-4,0.7,0.6,0.676189930971184,0.608883375483674,0.0673065554875102
"134",-4,0.8,0.6,0.67844697705115,0.62582489364617,0.0526220834049801
"135",-4,0.9,0.6,0.680148931444922,0.643403411800837,0.0367455196440845
"136",-4,0.1,0.7,0.69171856456925,0.588730422912593,0.102988141656657
"137",-4,0.2,0.7,0.693287019173545,0.591328276935804,0.101958742237741
"138",-4,0.3,0.7,0.69338458981449,0.594765684813481,0.0986189050010093
"139",-4,0.4,0.7,0.693647125269259,0.599324509787528,0.0943226154817304
"140",-4,0.5,0.7,0.694689011372849,0.605980742044859,0.0887082693279895
"141",-4,0.6,0.7,0.696498399534387,0.615298560860113,0.0811998386742739
"142",-4,0.7,0.7,0.698414747798977,0.626606872084841,0.0718078757141356
"143",-4,0.8,0.7,0.698878887170321,0.63786853566331,0.0610103515070107
"144",-4,0.9,0.7,0.700293628146115,0.650994159907579,0.0492994682385368
"145",-4,0.1,0.8,0.727796135051885,0.649783257880881,0.0780128771710038
"146",-4,0.2,0.8,0.728415908122799,0.650705578292837,0.0777103298299622
"147",-4,0.3,0.8,0.728929204619866,0.653642488196447,0.0752867164234189
"148",-4,0.4,0.8,0.727880958758725,0.654376393700621,0.0735045650581039
"149",-4,0.5,0.8,0.728961092812078,0.658183559748761,0.0707775330633171
"150",-4,0.6,0.8,0.728560311525926,0.661578370239424,0.0669819412865018
"151",-4,0.7,0.8,0.73011920165169,0.668511489472578,0.0616077121791129
"152",-4,0.8,0.8,0.729723402253276,0.674355880659697,0.0553675215935784
"153",-4,0.9,0.8,0.730574281413858,0.680898866085356,0.0496754153285023
